text,label
"Someone made a transfer from my account without my permission","Fraud"
"I didn't authorize this transaction on my account","Fraud"
"My card details were stolen and used online","Fraud"
"There is an unknown debit on my account I never made","Fraud"
"Someone hacked my account and transferred all my money","Fraud"
"I received a phishing message and now my account is compromised","Fraud"
"Unauthorized withdrawal from my account last night","Fraud"
"I was scammed by someone pretending to be your agent","Fraud"
"My account was accessed by someone I don't know","Fraud"
"Strange transactions appeared on my account this morning","Fraud"
"I noticed suspicious login to my account from another state","Fraud"
"My money was taken without my consent via POS","Fraud"
"Someone used my BVN to open an account fraudulently","Fraud"
"I got a debit alert but I did not make any purchase","Fraud"
"My account was debited twice for one transaction","Fraud"
"I sent money to the wrong account number","Transfer"
"My transfer has been pending for over 24 hours","Transfer"
"Transfer failed but money was deducted from my account","Transfer"
"I sent money and it has not reflected in the recipient account","Transfer"
"My interbank transfer is still processing after two days","Transfer"
"I made a wrong transfer, how can I reverse it","Transfer"
"Transfer to GTBank failed but my account was debited","Transfer"
"My NEFT transfer has not been completed","Transfer"
"I cannot send money to other banks from my account","Transfer"
"Transfer limit is too low on my account","Transfer"
"My beneficiary did not receive the money I sent","Transfer"
"I need to reverse a transfer I made by mistake","Transfer"
"Transfer was declined but I was charged","Transfer"
"How do I increase my daily transfer limit","Transfer"
"My international transfer has not arrived","Transfer"
"I cannot login to my account","Account"
"My account has been blocked or restricted","Account"
"I forgot my PIN and cannot access my account","Account"
"My account was suspended without any notice","Account"
"I want to close my account permanently","Account"
"How do I update my phone number on my account","Account"
"My account balance is incorrect","Account"
"I am unable to reset my password","Account"
"My account was deactivated without reason","Account"
"I need to change my account name after marriage","Account"
"My account tier needs to be upgraded","Account"
"I cannot access my account after changing my phone","Account"
"My transaction history is missing from my account","Account"
"I want to link another phone number to my account","Account"
"My account statement is incorrect","Account"
"I applied for a loan and have not received feedback","Loan"
"My loan application was rejected without explanation","Loan"
"I am being charged wrong interest on my loan","Loan"
"I need to restructure my existing loan","Loan"
"My loan repayment was debited twice this month","Loan"
"How do I apply for an emergency loan","Loan"
"I need an increase on my current loan limit","Loan"
"The loan was not disbursed after approval","Loan"
"My loan repayment is due but I need an extension","Loan"
"I was approved for a loan but money never came","Loan"
"My loan balance does not match what I expected","Loan"
"I want to pay off my loan early","Loan"
"I have been charged penalty fees I did not agree to","Loan"
"The loan terms changed without informing me","Loan"
"My salary advance was not processed","Loan"
"My card was swallowed by the ATM","Card"
"My debit card is not working for online payments","Card"
"I need to block my lost card immediately","Card"
"My card expired and I need a replacement","Card"
"Card declined at POS even though I have balance","Card"
"I cannot use my card internationally","Card"
"My virtual card is not working on international sites","Card"
"I need to request a new card","Card"
"My card PIN is blocked after wrong attempts","Card"
"Card transaction failed but I was debited","Card"
"I want to increase my card spending limit","Card"
"My card details are showing incorrect information","Card"
"I received a card I did not request","Card"
"My card was used for a transaction I did not make","Card"
"I cannot activate my new debit card","Card"
"My account is not verified and I cannot transact","KYC"
"I submitted my ID but my account is still limited","KYC"
"My BVN verification has failed multiple times","KYC"
"I need to update my NIN on my account","KYC"
"My identity verification is still pending","KYC"
"I uploaded my documents but KYC is still failing","KYC"
"My selfie verification keeps getting rejected","KYC"
"I cannot complete tier 2 upgrade due to KYC issues","KYC"
"My address verification document was rejected","KYC"
"My date of birth on BVN does not match my account","KYC"
"I need to verify my account with a valid ID","KYC"
"My account has been limited because KYC is incomplete","KYC"
"The NIN I submitted is being rejected by the system","KYC"
"My face does not match during liveness check","KYC"
"I want to do a name correction on my account profile","KYC"
"The app keeps crashing when I try to make a payment","App/Tech"
"I cannot load my account dashboard on the app","App/Tech"
"The app is very slow and unresponsive","App/Tech"
"I am getting an error message when I try to transfer","App/Tech"
"The app logged me out automatically and I cannot log back in","App/Tech"
"Notifications are not showing on the app","App/Tech"
"My fingerprint login is not working on the app","App/Tech"
"The app update broke my ability to access my account","App/Tech"
"I cannot find the transaction history section anymore","App/Tech"
"The USSD code is not responding when I dial","App/Tech"
"I get a server error whenever I open the app","App/Tech"
"The app shows wrong balance on the home screen","App/Tech"
"I cannot receive OTP on my registered number","App/Tech"
"The app is not available on my phone model","App/Tech"
"I cannot download the app from the Play Store","App/Tech"
"I have a general question about your services","General"
"How do I earn interest on my savings","General"
"What are your bank charges and fees","General"
"I want to give feedback about your customer service","General"
"Can I open a joint account with my spouse","General"
"What documents do I need to open an account","General"
"How do I refer a friend to your platform","General"
"I need your official customer service phone number","General"
"What are your banking hours","General"
"How does your savings plan work","General"
"I want to make a complaint about a staff member","General"
"Can you explain your transaction charges to me","General"
"I need help understanding my account statement","General"
"Is there a physical branch I can visit","General"
"How do I enable notifications on my account","General"
"My money was taken by a fake investment scheme","Fraud"
"I suspect my account details were leaked","Fraud"
"Someone is impersonating your company to defraud me","Fraud"
"I made a transfer but the person says they got nothing","Transfer"
"Transfer reversed without my authorization","Transfer"
"My account was debited but I cannot see the transaction","Account"
"How do I open a second account with you","Account"
"I was denied a loan even though my salary is verified","Loan"
"Why was my loan not approved despite good history","Loan"
"My card number is showing to others on the app","Card"
"Virtual card was charged for a service I cancelled","Card"
"My NIN was rejected even though it matches my name","KYC"
"I cannot pass the video KYC verification call","KYC"
"App crashes immediately after the splash screen","App/Tech"
"I keep getting OTP errors during login","App/Tech"
"How do I contact your fraud department directly","General"
"What is the maximum amount I can hold in my account","General"
